term,counts
kind,128216
bolsonaro,128172
special,128160
wash,127961
mental,127931
late,127776
frente,127775
details,127698
situación,127615
wonder,127609
website,127579
announced,127440
blood,127403
donate,127387
immune,127201
damn,127161
wear,127049
major,126981
supply,126811
sent,126806
être,126594
body,126531
asked,126368
level,126367
biden,126283
season,126238
heard,126109
date,126018
spreads,125957
bu,125914
clear,125538
cancelled,125422
comment,125050
knew,124950
age,124933
huge,124872
happening,124678
reuters,124623
pakistan,124493
orders,124488
nicht,124435
emergencia,124378
takes,124137
ao,124118
treat,124095
imagine,123810
cuomo,123767
immunity,123681
trust,123590
después,123273
hate,123072
zu,122838
continues,122711
release,122668
matter,122652
viral,122362
lead,122110
friday,122044
horas,121806
causa,121794
er,121718
entire,121467
slow,121456
5g,121343
madrid,120777
russia,120761
up,120722
médicos,120388
mind,120336
at,120294
cover,120254
reopen,120056
lack,120005
stand,119993
expert,119956
ada,119880
ass,119858
tips,119794
ir,119691
digital,119387
indian,119318
virtual,119119
met,118910
sector,118719
ta,118587
mata,118575
guess,118543
game,118520
agree,118519
colombia,118428
mr,118343
pmoindia,118260
paper,118230
parents,117938
cuba,117783
pass,117662
racist,117205
half,117049
security,117033
break,117031
amazing,117021
31,116999
allah,116973
currently,116955
cette,116951
wish,116900
monday,116687
toda,116518
killing,116482
fall,116324
package,116260
dios,116195
election,116132
più,116131
policy,115998
politics,115986
water,115967
penyebaran,115936
young,115903
asking,115840
running,115795
